order_id,customer_id,amount,payment_method,order_status,customer_account_age_days,previous_cod_orders,previous_cod_refusals,previous_successful_deliveries,pincode,pincode_risk_group,pincode_rto_rate,product_category,is_first_order,created_at,rto_outcome
ORD-0042-0000001,CUST-0002662,653.63,COD,RTO,71,4,0,3,110139,MEDIUM,0.2464,home,False,2026-01-01T00:00:00+00:00,RTO
ORD-0042-0000002,CUST-0001409,2026.79,PREPAID,DELIVERED,879,11,0,7,110040,MEDIUM,0.2131,home,False,2026-01-01T00:07:00+00:00,DELIVERED
ORD-0042-0000003,CUST-0002709,5072.50,COD,RTO,108,7,3,7,110212,HIGH,0.3670,electronics,False,2026-01-01T00:14:00+00:00,RTO
ORD-0042-0000004,CUST-0000859,782.98,PREPAID,DELIVERED,18,0,0,0,110221,LOW,0.1012,grocery,True,2026-01-01T00:21:00+00:00,DELIVERED
ORD-0042-0000005,CUST-0000132,1897.29,PREPAID,RTO,1457,7,0,2,110097,HIGH,0.4282,apparel,False,2026-01-01T00:28:00+00:00,RTO
ORD-0042-0000006,CUST-0001011,1931.62,COD,RTO,841,9,2,8,110054,LOW,0.0978,home,False,2026-01-01T00:35:00+00:00,RTO
ORD-0042-0000007,CUST-0000261,1467.04,COD,RTO,1123,11,2,8,110035,HIGH,0.3867,apparel,False,2026-01-01T00:42:00+00:00,RTO
ORD-0042-0000008,CUST-0000014,4857.44,PREPAID,DELIVERED,1240,16,3,14,110184,MEDIUM,0.2305,apparel,False,2026-01-01T00:49:00+00:00,DELIVERED
ORD-0042-0000009,CUST-0003190,3143.73,PREPAID,DELIVERED,1493,14,0,8,110076,HIGH,0.3731,grocery,False,2026-01-01T00:56:00+00:00,DELIVERED
ORD-0042-0000010,CUST-0003116,1154.57,COD,RTO,21,3,0,3,110206,MEDIUM,0.2667,jewellery,False,2026-01-01T01:03:00+00:00,RTO
ORD-0042-0000011,CUST-0002120,3031.73,COD,DELIVERED,277,8,0,4,110054,LOW,0.0978,electronics,False,2026-01-01T01:10:00+00:00,DELIVERED
ORD-0042-0000012,CUST-0000542,396.44,COD,DELIVERED,527,9,0,7,110001,LOW,0.0818,electronics,False,2026-01-01T01:17:00+00:00,DELIVERED
ORD-0042-0000013,CUST-0002677,1908.12,PREPAID,DELIVERED,1189,19,1,18,110024,MEDIUM,0.2426,apparel,False,2026-01-01T01:24:00+00:00,DELIVERED
ORD-0042-0000014,CUST-0000309,1519.87,PREPAID,DELIVERED,221,6,0,1,110048,MEDIUM,0.1977,footwear,False,2026-01-01T01:31:00+00:00,DELIVERED
ORD-0042-0000015,CUST-0000241,2099.79,PREPAID,DELIVERED,1147,8,4,3,110237,LOW,0.1421,jewellery,False,2026-01-01T01:38:00+00:00,DELIVERED
ORD-0042-0000016,CUST-0002712,2262.34,PREPAID,DELIVERED,0,0,0,0,110200,LOW,0.1173,footwear,True,2026-01-01T01:45:00+00:00,DELIVERED
ORD-0042-0000017,CUST-0000233,1165.03,COD,DELIVERED,337,7,3,6,110191,HIGH,0.3265,electronics,False,2026-01-01T01:52:00+00:00,DELIVERED
ORD-0042-0000018,CUST-0001069,1743.82,PREPAID,DELIVERED,184,9,0,5,110227,LOW,0.1073,beauty,False,2026-01-01T01:59:00+00:00,DELIVERED
ORD-0042-0000019,CUST-0002073,1955.18,COD,RTO,20,0,0,0,110171,HIGH,0.4173,beauty,True,2026-01-01T02:06:00+00:00,RTO
ORD-0042-0000020,CUST-0003306,946.30,PREPAID,DELIVERED,22,0,0,0,110094,HIGH,0.3371,grocery,True,2026-01-01T02:13:00+00:00,DELIVERED
ORD-0042-0000021,CUST-0000834,543.77,PREPAID,DELIVERED,36,8,0,3,110227,LOW,0.1073,footwear,False,2026-01-01T02:20:00+00:00,DELIVERED
ORD-0042-0000022,CUST-0000459,1171.20,PREPAID,DELIVERED,560,18,2,16,110108,HIGH,0.4441,apparel,False,2026-01-01T02:27:00+00:00,DELIVERED
ORD-0042-0000023,CUST-0000164,1606.86,COD,DELIVERED,9,0,0,0,110149,MEDIUM,0.1909,grocery,True,2026-01-01T02:34:00+00:00,DELIVERED
ORD-0042-0000024,CUST-0000735,1021.26,PREPAID,DELIVERED,450,9,1,7,110158,MEDIUM,0.2357,beauty,False,2026-01-01T02:41:00+00:00,DELIVERED
ORD-0042-0000025,CUST-0003258,2424.96,COD,DELIVERED,700,15,0,13,110009,LOW,0.0881,beauty,False,2026-01-01T02:48:00+00:00,DELIVERED
ORD-0042-0000026,CUST-0000114,1033.79,PREPAID,DELIVERED,476,3,0,0,110071,LOW,0.1479,jewellery,False,2026-01-01T02:55:00+00:00,DELIVERED
ORD-0042-0000027,CUST-0002814,647.83,COD,DELIVERED,16,0,0,0,110067,HIGH,0.3305,jewellery,True,2026-01-01T03:02:00+00:00,DELIVERED
ORD-0042-0000028,CUST-0001337,1785.49,COD,DELIVERED,1539,9,0,6,110080,LOW,0.0825,footwear,False,2026-01-01T03:09:00+00:00,DELIVERED
ORD-0042-0000029,CUST-0000861,623.75,PREPAID,DELIVERED,625,18,0,17,110231,LOW,0.1271,home,False,2026-01-01T03:16:00+00:00,DELIVERED
ORD-0042-0000030,CUST-0003077,1856.85,COD,RTO,1207,13,0,10,110230,LOW,0.1057,beauty,False,2026-01-01T03:23:00+00:00,RTO
ORD-0042-0000031,CUST-0002943,2478.18,COD,DELIVERED,19,0,0,0,110006,LOW,0.1383,apparel,True,2026-01-01T03:30:00+00:00,DELIVERED
ORD-0042-0000032,CUST-0000498,292.61,COD,DELIVERED,1032,13,1,12,110197,LOW,0.0918,home,False,2026-01-01T03:37:00+00:00,DELIVERED
ORD-0042-0000033,CUST-0003047,2375.73,PREPAID,DELIVERED,971,20,0,16,110208,HIGH,0.4468,beauty,False,2026-01-01T03:44:00+00:00,DELIVERED
ORD-0042-0000034,CUST-0002213,862.83,PREPAID,DELIVERED,941,14,1,8,110160,MEDIUM,0.2695,electronics,False,2026-01-01T03:51:00+00:00,DELIVERED
ORD-0042-0000035,CUST-0001721,840.67,COD,RTO,9,0,0,0,110180,MEDIUM,0.2027,home,True,2026-01-01T03:58:00+00:00,RTO
ORD-0042-0000036,CUST-0000904,1003.44,COD,DELIVERED,1596,24,2,18,110090,MEDIUM,0.2773,beauty,False,2026-01-01T04:05:00+00:00,DELIVERED
ORD-0042-0000037,CUST-0001614,719.13,COD,RTO,578,13,0,13,110185,MEDIUM,0.1968,grocery,False,2026-01-01T04:12:00+00:00,RTO
ORD-0042-0000038,CUST-0003081,1222.08,PREPAID,DELIVERED,1377,5,0,0,110066,HIGH,0.3734,apparel,False,2026-01-01T04:19:00+00:00,DELIVERED
ORD-0042-0000039,CUST-0001940,1042.26,COD,RTO,883,11,0,8,110089,HIGH,0.3976,jewellery,False,2026-01-01T04:26:00+00:00,RTO
ORD-0042-0000040,CUST-0001278,4337.65,COD,DELIVERED,1175,11,0,6,110191,HIGH,0.3265,electronics,False,2026-01-01T04:33:00+00:00,DELIVERED
ORD-0042-0000041,CUST-0002073,1647.00,PREPAID,DELIVERED,788,12,1,12,110178,LOW,0.1585,footwear,False,2026-01-01T04:40:00+00:00,DELIVERED
ORD-0042-0000042,CUST-0001981,2183.80,COD,DELIVERED,45,4,0,4,110117,MEDIUM,0.2123,grocery,False,2026-01-01T04:47:00+00:00,DELIVERED
ORD-0042-0000043,CUST-0002025,1163.81,PREPAID,DELIVERED,1517,20,2,18,110225,LOW,0.0925,apparel,False,2026-01-01T04:54:00+00:00,DELIVERED
ORD-0042-0000044,CUST-0001665,3764.98,COD,DELIVERED,392,14,1,12,110179,LOW,0.0916,grocery,False,2026-01-01T05:01:00+00:00,DELIVERED
ORD-0042-0000045,CUST-0002175,529.57,COD,DELIVERED,1572,12,1,7,110075,LOW,0.1010,apparel,False,2026-01-01T05:08:00+00:00,DELIVERED
ORD-0042-0000046,CUST-0001133,2079.39,COD,DELIVERED,1547,19,1,17,110030,MEDIUM,0.2451,footwear,False,2026-01-01T05:15:00+00:00,DELIVERED
ORD-0042-0000047,CUST-0002011,1528.09,PREPAID,DELIVERED,1576,18,4,16,110092,LOW,0.0917,footwear,False,2026-01-01T05:22:00+00:00,DELIVERED
ORD-0042-0000048,CUST-0001245,1418.79,COD,DELIVERED,0,0,0,0,110112,MEDIUM,0.2390,beauty,True,2026-01-01T05:29:00+00:00,DELIVERED
ORD-0042-0000049,CUST-0001218,1920.29,COD,DELIVERED,15,0,0,0,110155,MEDIUM,0.2630,home,True,2026-01-01T05:36:00+00:00,DELIVERED
ORD-0042-0000050,CUST-0000308,959.41,PREPAID,DELIVERED,898,13,0,9,110195,MEDIUM,0.2789,apparel,False,2026-01-01T05:43:00+00:00,DELIVERED
ORD-0042-0000051,CUST-0000957,697.33,COD,RTO,26,0,0,0,110074,LOW,0.0810,electronics,True,2026-01-01T05:50:00+00:00,RTO
